     case    educ    size   source  response
     255       2       4       1       0
     255       2       4       2       0
     255       2       4       3       0
     255       2       4       4       0
     255       2       4       5       1
     256       2       4       1       1
     256       2       4       2       0
     256       2       4       3       1
     256       2       4       4       0
     256       2       4       5       0
     257       2       4       1       0
     257       2       4       2       1
     257       2       4       3       0
     257       2       4       4       0
     257       2       4       5       1
     258       2       4       1       0
     258       2       4       2       0
     258       2       4       3       1
     258       2       4       4       1
     258       2       4       5       0
     259       2       4       1       1
     259       2       4       2       1
     259       2       4       3       1
     259       2       4       4       0
     259       2       4       5       0
     260       2       4       1       0
     260       2       4       2       1
     260       2       4       3       0
     260       2       4       4       1
     260       2       4       5       1
     261       2       4       1       1
     261       2       4       2       1
     261       2       4       3       1
     261       2       4       4       1
     261       2       4       5       0
     262       2       4       1       1
     262       2       4       2       1
     262       2       4       3       1
     262       2       4       4       1
     262       2       4       5       1
